,title,rating,num_ratings,num_reviews,num_awards,language,num_page,cover_type,published_year,genre,author
20500,When March Went Mad: The Game That Transformed Basketball,4.01,1104.0,109.0,0.0,English,323 pages,Hardcover,Published March 3rd 2009 by Times Books (first published February 17th 2009),Sports,Seth Davis
21557,Blue Latitudes: Boldly Going Where Captain Cook Has Gone Before,4.02,9679.0,684.0,0.0,English,480 pages,Paperback,Published August 1st 2003 by Picador USA (first published October 1st 2002),Travel,Tony Horwitz
21628,Long Way Down,3.92,5833.0,271.0,0.0,English,336 pages,Hardcover,Published October 10th 2007 by Sphere (first published 2004),Travel,Ewan McGregor
21782,On the Trail of Genghis Khan: An Epic Journey Through the Land of the Nomads,4.12,1706.0,252.0,3.0,English,528 pages,Hardcover,Published September 24th 2013 by Bloomsbury USA (first published 2013),Travel,Tim Cope
21930,The Rough Guide First-Time Around the World: A Trip Planner for the Ultimate Journey,4.03,496.0,46.0,0.0,English,367 pages,Paperback,Published March 20th 2006 by Rough Guides (first published 2003),Travel,Doug Lansky
21943,Time Was Soft There: A Paris Sojourn at Shakespeare & Co.,3.85,3621.0,572.0,0.0,English,260 pages,Paperback,Published September 19th 2006 by Picador USA (first published January 1st 2005),Nonfiction,Jeremy Mercer
21955,In Europe: Travels Through the Twentieth Century,4.34,3899.0,307.0,3.0,English,752 pages,Hardcover,Published March 27th 2007 by Harvill Secker (first published 2004),History,Geert Mak
22191,South to America: A Journey Below the Mason Dixon to Understand the Soul of a Nation,4.02,3025.0,508.0,2.0,English,410 pages,Hardcover,Published January 25th 2022 by Ecco,Nonfiction,Imani Perry
22336,The Almond Blossom Appreciation Society,4.04,1883.0,87.0,0.0,English,256 pages,Paperback,Published June 1st 2006 by Sort of Books (first published May 26th 2006),Travel,Chris Stewart
22549,Warcross,4.15,106167.0,17315.0,5.0,English,366 pages,Kindle Edition,Published September 12th 2017 by G.P. Putnam's Sons Books for Young Readers,Young Adult,Marie Lu
22979,Jackaby,3.83,28569.0,5016.0,2.0,English,299 pages,Hardcover,Published September 16th 2014 by Algonquin Young Readers,Fantasy,William Ritter
23043,Sandry's Book,4.02,41942.0,1247.0,2.0,English,252 pages,Mass Market Paperback,Published June 24th 2006 by Scholastic (first published September 1st 1997),Fantasy,Tamora Pierce
23060,Catching Jordan,3.84,61993.0,3715.0,1.0,English,288 pages,Paperback,Published January 1st 2012 by Sourcebooks Fire (first published December 1st 2011),Young Adult,Miranda Kenneally
23087,East,4.14,42601.0,3093.0,3.0,English,507 pages,Paperback,Published May 1st 2005 by HMH Books for Young Readers (first published September 1st 2003),Fantasy,Edith Pattou
23176,The Girl from Everywhere,3.69,15524.0,2741.0,1.0,English,454 pages,Hardcover,Published February 16th 2016 by Greenwillow Books,Fantasy,Heidi Heilig
23219,Ptolemy's Gate,4.27,83772.0,2385.0,3.0,English,501 pages,Hardcover,Published January 1st 2006 by Hyperion/Miramax (first published October 2005),Fantasy,Jonathan Stroud
